predictor,physical_type,earliest_entry_stage,canonical_model_representation,model_entry_mode,publication_status,publication_value_source,publication_representation,inferential_role,binary_semantic_status,reference_label,comparison_label,clinical_unit,native_unit,reporting_unit,continuous_unit_scale,reference_level,category_order,raw_code_to_publication_label,functional_form_status,source_of_decision,needs_clinical_signoff,reason
endometrioma_presence_laterality,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='none', display order=['none', 'unilateral', 'bilateral', 'laterality_unknown']",CATEGORICAL,,,,categorical level,category label,n/a,,none,"['none', 'unilateral', 'bilateral', 'laterality_unknown']",,NOT_APPLICABLE,CLAUDE.md Approved Clinical Rules 'Endometrioma derived variables (Data Cleaning B)' + manual_decisions_log.md Decisions 22/24/25/70/84 (explicit 4-level enumeration; right/left intentionally collapsed),False,Reference = no endometrioma; order none < unilateral < bilateral with the explicit unknown-laterality category last. Clinical sign-off given (Representation Sign-off task).
clexane_during_pregnancy,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
smoking,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='non_smoker', display order=['non_smoker', 'former_smoker', 'current_smoker']",CATEGORICAL,,,,categorical level,category label,n/a,,non_smoker,"['non_smoker', 'former_smoker', 'current_smoker']","{0: 'non_smoker', 1: 'current_smoker', 2: 'former_smoker'}",NOT_APPLICABLE,"docs/data_dictionary/clinical_variable_dictionary.yaml (smoking: 0 = non-smoker, 1 = current smoker, 2 = former smoker) + Representation Sign-off task (publication label set + display order approved)",False,"NOMINAL categorical; reference = non_smoker. Publication labels (non_smoker / former_smoker / current_smoker) map from the established raw source codes (0/1/2) -- see raw_code_to_publication_label. The DISPLAY order (non_smoker, former_smoker, current_smoker) intentionally differs from the raw numeric code order (0=non-smoker, 1=current, 2=former) and carries no ordinal meaning; raw codes must never be used as a continuous predictor. Former/current smoking are not combined merely because a level is sparse -- if inference proves unstable, the sparse/non-estimable status is reported instead of collapsing levels. Clinical sign-off given (Representation Sign-off task)."
adenomyosis_features_unknown,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis_feature_3,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
derived_endo_surgery_adhesion_status,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='no_prior_endo_surgery', display order=['no_prior_endo_surgery', 'prior_surgery_without_documented_adhesions', 'prior_surgery_with_documented_adhesions']",CATEGORICAL,,,,categorical level,category label,n/a,,no_prior_endo_surgery,"['no_prior_endo_surgery', 'prior_surgery_without_documented_adhesions', 'prior_surgery_with_documented_adhesions']",,NOT_APPLICABLE,analysis/data_cleaning/notebook_build/data_cleaning_b/cleaning_b_part4_transformations_imputation_plan.py (3-level status) + Representation Sign-off task (exploratory categorical approved),False,"EXPLORATORY nominal dummy-coded categorical; reference = no_prior_endo_surgery. 'without documented adhesions' is a documentation/finding state, not overstated as biological proof adhesions were absent. Association only, no causal-effect language. Clinical sign-off given (Representation Sign-off task)."
CS,count,1,same_as_physical_numeric,direct,DESCRIPTIVE_ONLY,raw_cleaned_column,"descriptive only, raw count — no fixed inferential representation",DESCRIPTIVE_ONLY,,,,count (number of previous cesarean sections),count,n/a,,,,,NOT_APPLICABLE,docs/data_dictionary/clinical_variable_dictionary.yaml (CS: number of previous cesarean sections) + FINAL FUNCTIONAL-FORM LOCK,False,"Moved to DESCRIPTIVE_ONLY (final, locked): support above zero is very sparse, and the project already contains the clinically interpretable binary S_P_CS predictor (BINARY, EXPLICITLY_DOCUMENTED). No per-additional-CS OR is used. Remains fully visible in Table 1, the representation/quality audit, and descriptive support outputs. FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
endo_resection_no_resection,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis_feature_1,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
peritoneal_endometriosis,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis_feature_6,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis_feature_7,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis_feature_11,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis_feature_8,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
induction_any_bin,binary,3,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
placental_abruption,binary,2,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
magnesium,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
mild_PET,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
PPROM,binary,2,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
EUP,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
PIH,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
polyhydramnios,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
LIVE_BIRTH,count,1,same_as_physical_numeric,direct,DESCRIPTIVE_ONLY,raw_cleaned_column,"descriptive only, raw count — no fixed inferential representation",DESCRIPTIVE_ONLY,,,,count (number of previous live births),count,n/a,,,,,NOT_APPLICABLE,docs/data_dictionary/clinical_variable_dictionary.yaml (LIVE_BIRTH: number of previous live births) + FINAL FUNCTIONAL-FORM LOCK,False,"Moved to DESCRIPTIVE_ONLY (final, locked): the observed pattern does not support a simple constant +1 interpretation, and no prospectively justified alternative grouping exists. No 0-vs-1+ or other outcome-inspected grouping is invented. Remains fully visible in Table 1, the representation/quality audit, and descriptive support outputs. FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
endo_resection_fallopian_tube,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
endo_resection_ovarian_endometrioma_bilateral,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
endo_resection_appendix,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
endo_resection_adnexa,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
vaginal_opening_during_surgery,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
celestone,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
intrapartum_fever_or_chorioamnionitis_bin,binary,3,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
diabetes_type,categorical,1,one_hot_categorical,direct,DESCRIPTIVE_ONLY,raw_cleaned_column,"descriptive only, raw category label — no fixed inferential representation",DESCRIPTIVE_ONLY,,,,"raw diabetes code (6-level, retained for transparency)",category label,n/a,,,,"{0: 'no_diabetes', 1: 'pregestational_diabetes', 2: 'diabetes_type_1', 3: 'diabetes_type_2', 4: 'GDMA1', 5: 'GDMA2'}",NOT_APPLICABLE,"docs/data_dictionary/clinical_variable_dictionary.yaml (diabetes_type: 0 = No diabetes, 1 = Pregestational, 2 = Type 1, 3 = Type 2, 4 = GDMA1, 5 = GDMA2) + Representation Sign-off task §6B",False,The raw 6-code representation contains sparse subtypes and is not an ordinal severity scale. The clinically interpretable derived_diabetes_type_grouped representation is now APPROVED for inferential analysis (see _CATEGORICAL_APPROVED); reporting two competing inferential parameterizations of the same raw coding is avoided without scientific reason. Raw diabetes_type is retained descriptively for transparency only -- its Table 1 levels are shown using this same documented code dictionary (see _RAW_CODE_TO_LABEL['diabetes_type']) rather than the bare numeric codes; this is a display-only mapping and never feeds any inferential fit.
bladder_lesion_resected,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
mode_of_conception,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='spontaneous', display order=['spontaneous', 'IUI', 'IVF', 'other_fertility_treatment']",CATEGORICAL,,,,categorical level,category label,n/a,,spontaneous,"['spontaneous', 'IUI', 'IVF', 'other_fertility_treatment']","{0: 'spontaneous', 1: 'IVF', 2: 'IUI', 3: 'other_fertility_treatment'}",NOT_APPLICABLE,"docs/data_dictionary/clinical_variable_dictionary.yaml (mode_of_conception: 0 = spontaneous, 1 = IVF, 2 = IUI, 3 = other fertility treatment) + Representation Sign-off task (publication label set + display order approved)",False,"NOMINAL categorical; reference = spontaneous. Publication labels (spontaneous / IVF / IUI / other_fertility_treatment) map from the established raw source codes (0/1/2/3) -- see raw_code_to_publication_label. Display order has no ordinal numerical meaning; IUI/IVF/other are never collapsed based on observed outcomes. The separate canonical binary source predictor mode_of_conception_ivf_vs_all is unaffected and unaltered by this decision -- any redundancy between the two is reporting context, not a reason to change the frozen 81-predictor inventory. Clinical sign-off given (Representation Sign-off task)."
