column_name,classification,reason
endo_resection_ovarian_endometrioma_bilateral,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endo_resection_adnexa,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endo_resection_fallopian_tube,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endo_resection_epiploica,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endo_resection_uterus,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endo_resection_lesion,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endo_resection_adhesiolysis,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endo_resection_appendix,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
gestational_age_at_delivery_days,intrapartum_predictor_exclude_from_prelabor_model,"Variables with clinically confirmed intrapartum timing (relayed by Keren to the project team on 2026-07-28). Not outcomes or audit-only variables (distinct from intrapartum_or_post_delivery_exclude). Excluded from Stage 1 (pre-labor) and Stage 2 (pre-labor + near-delivery); eligible only for Stage 3 (pre-labor + near-delivery + intrapartum), per Decision 65. Stage 3 is an intrapartum risk-update model, not an early/prelabor model."
gestational_age_at_PPROM_days,secondary_near_delivery_predictor,"Near-delivery or labor-adjacent predictors; not treated as target leakage, but separated from the main baseline predictor set. Excluded from Stage 1 (pre-labor); eligible for Stage 2 (pre-labor + near-delivery) and Stage 3 (Decision 65)."
induction_any_bin,intrapartum_predictor_exclude_from_prelabor_model,"Variables with clinically confirmed intrapartum timing (relayed by Keren to the project team on 2026-07-28). Not outcomes or audit-only variables (distinct from intrapartum_or_post_delivery_exclude). Excluded from Stage 1 (pre-labor) and Stage 2 (pre-labor + near-delivery); eligible only for Stage 3 (pre-labor + near-delivery + intrapartum), per Decision 65. Stage 3 is an intrapartum risk-update model, not an early/prelabor model."
indication_for_induction_clean,intrapartum_predictor_exclude_from_prelabor_model,"Variables with clinically confirmed intrapartum timing (relayed by Keren to the project team on 2026-07-28). Not outcomes or audit-only variables (distinct from intrapartum_or_post_delivery_exclude). Excluded from Stage 1 (pre-labor) and Stage 2 (pre-labor + near-delivery); eligible only for Stage 3 (pre-labor + near-delivery + intrapartum), per Decision 65. Stage 3 is an intrapartum risk-update model, not an early/prelabor model."
indication_for_CS_clean,leakage_exclude,"Variables that directly encode the target, cesarean decision, cesarean indication, or operative findings after the target decision; excluded from predictors."
suspected_endo_lesions_during_CS_clean,leakage_exclude,"Variables that directly encode the target, cesarean decision, cesarean indication, or operative findings after the target decision; excluded from predictors."
Hb_diff_clean,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
intrapartum_fever_or_chorioamnionitis_bin,intrapartum_predictor_exclude_from_prelabor_model,"Variables with clinically confirmed intrapartum timing (relayed by Keren to the project team on 2026-07-28). Not outcomes or audit-only variables (distinct from intrapartum_or_post_delivery_exclude). Excluded from Stage 1 (pre-labor) and Stage 2 (pre-labor + near-delivery); eligible only for Stage 3 (pre-labor + near-delivery + intrapartum), per Decision 65. Stage 3 is an intrapartum risk-update model, not an early/prelabor model."
RDS_comment,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
TTN_bin,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
endometrioma_size_status,predictor_allowed,"Approved pre-labor predictor representation for endometrioma size/presence status (Decision 84) -- source-faithful replacement for the retired, KNN-imputed endometrioma_size_severity; no size imputation, genuinely unknown size kept as an explicit endometrioma_size_unknown category."
endometrioma_presence_laterality,predictor_allowed,Approved pre-labor predictor representation combining endometrioma presence and laterality.
severe_PET_cat,predictor_allowed,"Approved standalone pre-labor predictor (Decision 94) -- deterministic categorical relabeling of the raw source column, itself predictor_allowed/Stage 1; values/representation unchanged (present/absent/not_documented)."
any_PET_cat,predictor_allowed,"Approved standalone pre-labor predictor (Decision 94) -- deterministic categorical relabeling of the raw source column, itself predictor_allowed/Stage 1; values/representation unchanged (present/absent/not_documented)."
adenomyosis_feature_1,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 1. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_2,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 2. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_3,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 3. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_4,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 4. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_5,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 5. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_6,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 6. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_7,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 7. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_8,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 8. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_9,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 9. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_10,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 10. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_feature_11,predictor_allowed,Approved pre-labor predictor: binary indicator for documented adenomyosis sonographic feature code 11. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.
adenomyosis_features_unknown,predictor_allowed,Approved pre-labor predictor: binary indicator for adenomyosis==1 rows with no specific positive sonographic feature documented. No feature imputation.
derived_endo_surgery_adhesion_status,predictor_allowed,Approved pre-labor predictor representation of documented adhesion status during prior endometriosis surgery; relocated from EDA C to Data Cleaning B (2026-08-27). Does not represent whether adhesiolysis was performed.
indication_for_induction_status,intrapartum_predictor_exclude_from_prelabor_model,"New (2026-08-27): Stage-3-only categorical representation of the induction indication -- structural no_induction, genuine induction_indication_unknown, or the observed indication preserved verbatim. Redundant with induction_any_bin."
